id,name,vernacular_name,category,type,state_ut,district_city,latitude,longitude,asi_id,unesco_ref,dynasty_ruler,period_century,architectural_style,materials_construction,dimensions_area,sub_features_scannable,combat_historical_narrative,tactical_visiting_info,nearby_cluster,government_source,kaggle_sources,vision_class_label,photo_url
IND-HER-01,Taj Mahal,ताज महल (Taj Mahal),UNESCO World Heritage Site,Mughal Mausoleum Complex,Uttar Pradesh,"Agra District, Agra",27.175,78.0422,N-UP-A28,252 (Inscribed 1983),Mughal Empire (Emperor Shah Jahan),1632 – 1648 CE (17th Century),Mughal Classical Architecture (Symmetrical Charbagh with Bilateral Axis),"Makrana Pure White Marble, Red Sandstone (Outbuildings), 43 types of Inlaid Gemstones (Parchin Kari)",Height: 73 m (240 ft); Complex Area: 17 hectares (42 acres); Plinth: 95m x 95m,"Central Bulbous Dome, 4 Tilted Corner Minarets, Darwaza-i-Rauza (Great Gate), Pietra Dura Inlay Jali Screens, Cenotaph Chamber, Mosque & Jawab","Commissioned by Emperor Shah Jahan in 1631 in memory of his chief empress Mumtaz Mahal. Employed over 20,000 artisans under chief architect Ustad Ahmad Lahori. The complex embodies the Islamic concept of the gardens of paradise (Rawda) with an octagonal central chamber, acoustic dome resonance, and flawless bilateral symmetry flanked by the river Yamuna.",Sunrise to Sunset (Closed Fridays for prayers). Best time: Oct to March. Night viewing permitted on Full Moon ±2 days. Electric vehicle zone within 500m.,"Agra Fort (2.5 km), Mehtab Bagh (opposite Yamuna, 1 km), Itmad-ud-Daulah (4 km)",Archaeological Survey of India (Agra Circle) & UNESCO WHC Dossier No. 252,pranavgautam29/indian-historical-monuments; danushkumarv/indian-monuments-image-dataset,taj_mahal,https://thumb.wikimedia.org/wikipedia/commons/thumb/a/af/Aks_The_Reflection_Taj_Mahal.jpg/960px-Aks_The_Reflection_Taj_Mahal.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
IND-HER-02,Qutub Minar & Monument Complex,क़ुतुब मीनार (Qutb Minar),UNESCO World Heritage Site,Victory Minaret & Mosque Complex,Delhi,"South Delhi, Mehrauli",28.5245,77.1855,N-DL-1,607 (Inscribed 1993),"Delhi Sultanate (Qutb-ud-din Aibak, Iltutmish, Firoz Shah Tughlaq)",1192 – 1368 CE (12th-14th Century),Indo-Islamic Ghurid Fluted Architecture,"Chiseled Red Sandstone, Buff Sandstone, White Marble (top two storeys)",Height: 72.5 m (238 ft); Base Diameter: 14.3 m; Top Diameter: 2.7 m; 379 Steps,"Five Superimposed Fluted Storeys with Projecting Balconies, Alai Darwaza, Iron Pillar of Delhi, Quwwat-ul-Islam Mosque, Tomb of Iltutmish, Alai Minar",Commenced by Qutb-ud-din Aibak in 1192 following Muhammad Ghori's victory at Tarain. Completed by Iltutmish and restored by Firoz Shah Tughlaq after a 1368 lightning strike. Decorated with intricate calligraphic Quranic bands and honeycomb stalactite (muqarnas) bracket supports beneath each balcony.,Open daily: 07:00 AM to 09:00 PM. Metro connectivity: Qutub Minar Station (Yellow Line). Illuminated evening dynamic lighting.,"Mehrauli Archaeological Park (800m), Jamali Kamali (1 km), Zafar Mahal (1.2 km)",Archaeological Survey of India (Delhi Circle) & UNESCO Dossier No. 607,pranavgautam29/indian-historical-monuments; danushkumarv/indian-monuments-image-dataset,qutub_minar,https://upload.wikimedia.org/wikipedia/commons/9/94/Close_view_of_the_southern_gate_of_the_Qutb_Minar_enclosure_in_Delhi_in_the_1870s.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled
IND-HER-03,Red Fort (Lal Qila),लाल क़िला (Lal Qila),UNESCO World Heritage Site,Imperial Mughal Palace-Fortress,Delhi,"Central Delhi, Old Delhi",28.6562,77.241,N-DL-2,1054 (Inscribed 2007),Mughal Empire (Emperor Shah Jahan),1639 – 1648 CE (17th Century),High Mughal Imperial Citadel Architecture,"Red Sikri Sandstone, White Makrana Marble, Enamelled Ceramic Tiles, Gilded Copper",Perimeter: 2.41 km; Wall Height: 18m to 33m; Enclosed Area: 254.67 acres,"Lahori Gate, Delhi Gate, Chhatta Chowk (Covered Bazaar), Diwan-i-Aam, Diwan-i-Khas with Peacock Throne plinth, Nahr-i-Bihisht stream, Moti Masjid","Constructed when Shah Jahan relocated the capital from Agra to Shahjahanabad. Surrounded by deep defensive moats once fed by the Yamuna River. Served as the seat of Mughal governance until 1857. Captured by the British after the Revolt of 1857, who converted large palace barracks into military cantonments. Today serves as the venue for the Prime Minister's Independence Day address.",Open 09:30 AM to 04:30 PM (Closed Mondays). Sound & Light Show in Hindi/English every evening. Metro: Lal Qila Station (Violet Line).,"Jama Masjid (600m), Chandni Chowk (400m), Raj Ghat (2 km)",Archaeological Survey of India (Delhi Circle) & UNESCO Dossier No. 1054,danushkumarv/indian-monuments-image-dataset; pranavgautam29/indian-historical-monuments; ayushkhaire/indian-forts,red_fort,https://thumb.wikimedia.org/wikipedia/commons/thumb/c/c8/Lahori_Gate%2C_Red_Fort%2C_Delhi.jpg/960px-Lahori_Gate%2C_Red_Fort%2C_Delhi.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
IND-HER-04,Humayun's Tomb Complex,हुमायूँ का मक़बरा (Humayun's Tomb),UNESCO World Heritage Site,Mughal Garden Tomb (Proto-Taj Mahal),Delhi,"South East Delhi, Nizamuddin East",28.5933,77.2507,N-DL-5,232 (Inscribed 1993),Mughal Empire (Empress Bega Begum / Akbar),1565 – 1572 CE (16th Century),Early Mughal Timurid-Persian Synthesis,"Red Sandstone trimmed with White Marble, Yellow Sandstone, Quartzite rubble masonry",Height: 47 m (154 ft); Width: 91 m plinth; Garden: 30 acres divided into 36 Charbagh squares,"Double Bulbous White Marble Dome, Grand Chamfered Pishtaq Arches, Isa Khan Niyazi Octagonal Tomb, Bu Halima Garden, Arab Sarai Gateway, Barber's Tomb","First substantial example of Mughal architecture in India and direct architectural precursor to the Taj Mahal. Designed by Persian architect Mirak Mirza Ghiyas. Features the first Indian use of a high double-dome with kiosks (chhatris). In September 1857, the last Mughal Emperor Bahadur Shah Zafar was captured here by Captain William Hodson.",Sunrise to Sunset daily. Best photography light: 4:00 PM to 6:00 PM. Wheelchair accessible along central paved stone channels.,"Nizamuddin Dargah (500m), Sundar Nursery (adjacent, 200m), National Zoological Park (1.5 km)",Archaeological Survey of India & Aga Khan Trust for Culture (AKTC),pranavgautam29/indian-historical-monuments; danushkumarv/indian-monuments-image-dataset,humayuns_tomb,https://thumb.wikimedia.org/wikipedia/commons/thumb/5/57/Humayun%27s_Tomb_%28Humayun_Ka_Maqbara_-_Delhi%29.jpg/960px-Humayun%27s_Tomb_%28Humayun_Ka_Maqbara_-_Delhi%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
IND-HER-05,Fatehpur Sikri Imperial Citadel,फ़तेहपुर सीकरी (Fatehpur Sikri),UNESCO World Heritage Site,Deserted Mughal Capital City,Uttar Pradesh,"Agra District, Fatehpur Sikri",27.0945,77.6679,N-UP-A25,255 (Inscribed 1986),Mughal Empire (Emperor Akbar the Great),1571 – 1585 CE (16th Century),Akbari Syncretic (Indo-Persian & Gujarati Hindu timber-stone carving),"Chiselled Sikri Red Sandstone, White Marble (Tomb of Salim Chishti)",Fortified ridge perimeter: 11 km; Buland Darwaza Height: 54 m (177 ft),"Buland Darwaza (Gate of Magnificence), Jama Masjid, Tomb of Sheikh Salim Chishti, Diwan-i-Khas Central Carved Pillar, Panch Mahal (5-storey tiered pavilion), Anup Talao",Founded by Akbar in honour of Sufi saint Sheikh Salim Chishti who blessed him with an heir (Prince Salim/Jahangir). Served as Mughal imperial capital for 14 years before being abandoned in 1585 due to severe water shortages and military campaigns in the northwest. The Diwan-i-Khas contains a single stone pillar with 36 serpentine brackets where Akbar held multi-faith philosophical debates (Ibadat Khana).,Open 06:00 AM to 06:00 PM. Battery bus service from parking to Buland Darwaza (1 km). Distance from Agra: 37 km (1 hour drive).,"Keoladeo Ghana National Park, Bharatpur (25 km), Agra Monuments (37 km)",Archaeological Survey of India (Agra Circle) & UNESCO WHC Dossier No. 255,pranavgautam29/indian-historical-monuments; danushkumarv/indian-monuments-image-dataset,fatehpur_sikri,https://thumb.wikimedia.org/wikipedia/commons/thumb/3/33/Buland_Darwaza%2C_Fatehpur_Sikri%2C_Agra.jpg/960px-Buland_Darwaza%2C_Fatehpur_Sikri%2C_Agra.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
IND-HER-06,Ajanta Caves,अजिंठा लेणी (Ajanta Leni),UNESCO World Heritage Site,Rock-Cut Buddhist Cave Monasteries & Chaityas,Maharashtra,Chhatrapati Sambhaji Nagar (Aurangabad),20.5519,75.7033,W-MH-A1,242 (Inscribed 1983),"Satavahana Dynasty (Phase 1) & Vakataka Dynasty (Harishena, Phase 2)",2nd Century BCE – 6th Century CE,Rock-Cut Buddhist Rock Architecture (Hinayana & Mahayana),"Monolithic Basaltic Deccan Trap Rock, Organic Tempera Frescoes (Cow dung, clay, rice husk, lapis lazuli pigments)",30 rock-cut caves carved into a 75m high crescent-shaped horseshoe gorge along the Waghur River,"Cave 1 Bodhisattva Padmapani and Vajrapani Frescoes, Cave 19 Chaitya Facade with Horseshoe Arch, Cave 26 Reclining Parinirvana Buddha (7m long), Monolithic Vihara Cells","Rediscovered in 1819 by British cavalry officer John Smith during a tiger hunt. The murals illustrate Buddhist Jataka tales using mineral pigments bound with plant sap, exhibiting chiaroscuro lighting effects centuries ahead of European Renaissance. The horseshoe cliff gorge provided monk hermitages strategic acoustic isolation from bustling trade routes linking the Deccan to Ujjain.",Open 09:00 AM to 05:00 PM (Closed Mondays). Eco-friendly shuttle bus from T-Junction. Strict ban on camera flashes to prevent organic pigment decay.,"Ellora Caves (100 km), Daulatabad Fort (95 km), Bibi Ka Maqbara (105 km)",Archaeological Survey of India (Aurangabad Circle) & UNESCO Dossier No. 242,pranavgautam29/indian-historical-monuments; danushkumarv/indian-monuments-image-dataset,ajanta_caves,https://thumb.wikimedia.org/wikipedia/commons/thumb/1/1b/Ajanta_Cave_1_Padmapani.jpg/960px-Ajanta_Cave_1_Padmapani.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
IND-HER-07,Ellora Caves & Kailash Temple,वेरूळ लेणी व कैलास मंदिर (Ellora Leni),UNESCO World Heritage Site,Monolithic Rock-Cut Temple Complex,Maharashtra,Chhatrapati Sambhaji Nagar (Aurangabad),20.0268,75.1793,W-MH-A2,243 (Inscribed 1983),Rashtrakuta Dynasty (King Krishna I for Kailash) & Yadava/Kalachuri,600 – 1000 CE (7th - 10th Century),"Dravidian Monolithic Rock-Cut (Multi-Religious: Hindu, Buddhist, Jain)","Monolithic Basalt Cliff (Top-down vertical excavation, Deccan Trap)","34 major caves spanning 2 km; Cave 16 (Kailash): 50m long, 33m wide, 30m high; 200,000 tons of rock excavated","Cave 16 Kailash Temple Monolithic Shikhara, Ravana Shaking Mount Kailash Relief, Life-size Elephants & Dhwajasthambha, Cave 10 Vishwakarma Carpenter's Cave, Cave 32 Indra Sabha","Cave 16 (Kailashatha) is the largest monolithic rock sculpture in the world, carved from top to bottom without scaffolding or joined masonry. Over 200,000 tonnes of basalt were chiselled away using simple iron picks and wedges. Demonstrates exceptional religious harmony with 17 Hindu caves, 12 Buddhist caves, and 5 Jain caves co-existing on the same basalt escarpment.",Open sunrise to sunset (Closed Tuesdays). Golf carts available on site. Direct flights and trains to Aurangabad.,"Daulatabad Fort (15 km), Grishneshwar Jyotirlinga (1 km), Ajanta Caves (100 km)",Archaeological Survey of India (Aurangabad Circle) & UNESCO Dossier No. 243,pranavgautam29/indian-historical-monuments; danushkumarv/indian-monuments-image-dataset,ellora_caves,https://thumb.wikimedia.org/wikipedia/commons/thumb/8/8a/Courtyard_and_Mahabharata_Reliefs_at_the_Kailasa_Temple%2C_Ellora_01.jpg/960px-Courtyard_and_Mahabharata_Reliefs_at_the_Kailasa_Temple%2C_Ellora_01.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
IND-HER-08,Konark Sun Temple (The Black Pagoda),କୋଣାର୍କ ସୂର୍ଯ୍ୟ ମନ୍ଦିର (Konark Sun Temple),UNESCO World Heritage Site,Kalinga Monumental Chariot Temple,Odisha,"Puri District, Konark",19.8876,86.0945,E-OD-1,246 (Inscribed 1984),Eastern Ganga Dynasty (King Narasimhadeva I),1250 CE (13th Century),Kalinga Architecture (Rekha Deula and Pidha Deula),"Khondalite Sandstone, Chlorite stone doorframes, Iron dowels and magnetic stone lodestone clamps",Jagamohana Height: 39 m (128 ft); Original Rekha Deula estimated at 70 m (collapsed); 24 carved stone wheels of 3m diameter,"24 Intricately Carved Sundial Wheels (Spokes tell exact time), 7 Galloping Horses representing days of week, Natya Mandapa with 128 dance poses, Chlorite Stone Sun God (Surya) Statues, Erotic Mithuna Sculptures","Conceived as a colossal 24-wheeled chariot carrying the Sun God Surya across the heavens, pulled by 7 spirited horses. European mariners called it the 'Black Pagoda' because its dark iron lodestone tower was said to exert magnetic pull on passing ships' navigational compasses. Legend attributes the final stone placement to 12-year-old child prodigy Dharmapada.",Open 06:00 AM to 08:00 PM daily. Annual Konark Dance Festival held every December in the Natya Mandapa.,"Chandrabhaga Beach (3 km), Puri Jagannath Temple (35 km), Bhubaneswar Temples (65 km)",Archaeological Survey of India (Bhubaneswar Circle) & UNESCO WHC Dossier No. 246,pranavgautam29/indian-historical-monuments; danushkumarv/indian-monuments-image-dataset,konark_sun_temple,https://thumb.wikimedia.org/wikipedia/commons/thumb/8/8b/Closeup_of_the_center_of_a_stone_wheel_-_Konark_Sun_Temple%2C_Orissa%2C_India.jpg/960px-Closeup_of_the_center_of_a_stone_wheel_-_Konark_Sun_Temple%2C_Orissa%2C_India.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
IND-HER-09,Khajuraho Group of Monuments,खजुराहो स्मारक समूह (Khajuraho Temples),UNESCO World Heritage Site,Nagara Temple Complex (Hindu & Jain),Madhya Pradesh,"Chhatarpur District, Khajuraho",24.8318,79.9199,C-MP-1,240 (Inscribed 1986),"Chandela Dynasty (Kings Dhanga, Ganda, and Vidyadhara)",950 – 1050 CE (10th-11th Century),Nagara Style (Sandhara & Latina temples with curvilinear Shikharas),"Buff and Pink Fine-grained Sandstone from Panna quarries, Granite foundation plinths","Kandariya Mahadeva Height: 31 m (102 ft); 25 surviving temples clustered in Western, Eastern, and Southern groups","Kandariya Mahadeva Shikhara representing Mount Kailash, Lakshmana Temple Vaikuntha Vishnu, Chausath Yogini Temple, Parshvanatha Jain Temple, Intricate Mithuna friezes, Celestial Apsaras","Constructed during the zenith of Chandela Rajput power. The temples celebrate the four purusharthas (Dharma, Artha, Kama, Moksha). Kandariya Mahadeva alone features 872 meticulously carved sculptures, representing the microcosm of cosmic existence. Hidden inside dense sal forests for centuries, protecting them from Delhi Sultanate iconoclasts until rediscovered by British surveyor T.S. Burt in 1838.",Open sunrise to sunset. Western Group has automated audio guide kiosks and evening Sound & Light show. Khajuraho Airport (HJR) connects to Delhi and Varanasi.,"Panna National Park & Tiger Reserve (25 km), Raneh Falls (20 km), Kalinjar Fort (100 km)",Archaeological Survey of India (Bhopal Circle) & UNESCO WHC Dossier No. 240,pranavgautam29/indian-historical-monuments; danushkumarv/indian-monuments-image-dataset,khajuraho,https://thumb.wikimedia.org/wikipedia/commons/thumb/7/70/Homosexuality_in_Khajuraho_sculpture.jpg/960px-Homosexuality_in_Khajuraho_sculpture.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
IND-HER-10,Hampi (Ruins of the Vijayanagara Empire),ಹಂಪಿ (Hampi Vijayanagara),UNESCO World Heritage Site,Medieval Imperial Capital & Fortified Temple City,Karnataka,"Vijayanagara District, Hosapete",15.335,76.46,S-KA-1,241 (Inscribed 1986),"Vijayanagara Empire (Sangama, Saluva, Tuluva & Aravidu dynasties; Krishna Deva Raya)",1336 – 1565 CE (14th-16th Century),Vijayanagara Dravidian (Massive granite monolithic structures with musical pillars),"Local Porphyritic Granite Boulders, Lime plaster, Timber roofing","Spans over 4,187 hectares (41.8 sq km); Over 1,600 surviving monuments amidst boulder-strewn hills","Stone Chariot at Vijaya Vittala Temple, 56 Musical Pillars (SaReGaMa), Virupaksha Temple 50m Gopuram, Lotus Mahal, Royal Elephant Stables, Queen's Bath, Monolithic Narasimha","Second-largest city in the medieval world in 1500 CE after Beijing, described by Portuguese traveler Domingo Paes as overflowing with rubies, diamonds, and silks. Capital of emperor Krishna Deva Raya. Sacked, burned, and looted for 6 months following the Battle of Talikota in 1565 by the combined Deccan Sultanates.",Open 06:00 AM to 06:00 PM. Bicycle and electric scooter rentals popular. Nearest railway station: Hosapete (13 km).,"Tungabhadra Dam (16 km), Anegundi Kishkindha (5 km across river by coracle), Daroji Sloth Bear Sanctuary (20 km)",Archaeological Survey of India (Hampi Mini Circle) & Hampi World Heritage Area Management Authority,pranavgautam29/indian-historical-monuments; danushkumarv/indian-monuments-image-dataset,hampi,https://thumb.wikimedia.org/wikipedia/commons/thumb/2/2a/Hampi_Garuda_stone_chariot.jpg/960px-Hampi_Garuda_stone_chariot.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
