Monument_Name,State_UT,Heritage_Status,ASI_ID,Latitude,Longitude,Open_Images_Count,ThreeD_Scan_Mesh_Source,Recognition_Dataset_Support,Pretrained_Vision_Support,Authoritative_RAG_Source,Multilingual_Support,OSM_Boundary_Footways,MVP_Readiness_Score_10,Pilot_Recommendation
Taj Mahal,Uttar Pradesh,UNESCO World Heritage,N-UP-A28,27.1750,78.0422,12000+,CyArk / Sketchfab CC / OpenHeritage3D,"GLDv2, Kaggle 24","DINOv2, SigLIP, CLIP",ASI Agra Circle + UNESCO OUV,"HI, EN, UR, +10 Indic",Complete (Full complex),10,Agra Pilot
Qutub Minar Complex,Delhi,UNESCO World Heritage,N-DL-1,28.5245,77.1855,6500+,Sketchfab CC (Full tower + Iron pillar),"GLDv2, Kaggle 24","DINOv2, SigLIP, CLIP",ASI Delhi Circle + UNESCO Dossier,"HI, EN, UR, +10 Indic",Complete (Paved footways & gates),10,Delhi Pilot (P0)
Red Fort (Lal Qila),Delhi,UNESCO World Heritage,N-DL-2,28.6562,77.2410,8000+,"Sketchfab CC (Lahore Gate, Diwan-i-Khas)","GLDv2, Kaggle 24","DINOv2, SigLIP, CLIP",ASI Delhi Circle + Indian Culture Portal,"HI, EN, UR, +10 Indic",Complete (Interior gardens mapped),10,Delhi Pilot (P0)
Humayun Tomb,Delhi,UNESCO World Heritage,N-DL-3,28.5933,77.2507,4200+,Aga Khan Trust for Culture / Sketchfab CC,"GLDv2, Kaggle 24","DINOv2, SigLIP, CLIP",ASI Delhi Circle + AKTC Monograph,"HI, EN, UR, +10 Indic",Complete (Full Charbagh grid),10,Delhi Pilot (P0)
Fatehpur Sikri,Uttar Pradesh,UNESCO World Heritage,N-UP-A22,27.0945,77.6679,5100+,Buland Darwaza Sketchfab CC,"GLDv2, Kaggle 24","DINOv2, SigLIP, CLIP",ASI Agra Circle + UNESCO Dossier,"HI, EN, UR, +10 Indic",Complete (Courtyards mapped),9,Agra Pilot
Ajanta Caves,Maharashtra,UNESCO World Heritage,N-MH-A1,20.5519,75.7033,3800+,ASI Terrestrial Laser Scans / IITB Digital,"GLDv2, Kaggle 24","DINOv2, SigLIP, CLIP",ASI Aurangabad Circle + UNESCO,"MR, HI, EN, +10 Indic",Complete (Crescent ravine path),9,Maharashtra Cluster
Ellora Caves (Kailash Temple),Maharashtra,UNESCO World Heritage,N-MH-A2,20.0268,75.1792,4500+,Kailash Temple Sketchfab CC / CyArk,"GLDv2, Kaggle 24","DINOv2, SigLIP, CLIP",ASI Aurangabad Circle + UNESCO,"MR, HI, EN, +10 Indic",Complete (Cave 1-34 tagged),9,Maharashtra Cluster
Elephanta Caves,Maharashtra,UNESCO World Heritage,N-MH-M1,18.9633,72.9315,2100+,OpenHeritage3D / CyArk Full LiDAR & Mesh,"GLDv2, CyArk","DINOv2, SigLIP, CLIP",ASI Mumbai Circle + INSTUCEN Trust,"MR, HI, EN, +10 Indic",Complete (Island jetty to caves),10,Maharashtra Cluster
Konark Sun Temple,Odisha,UNESCO World Heritage,N-OR-1,19.8876,86.0945,3400+,ASI 3D Laser Scan / Sketchfab Wheel mesh,"GLDv2, Kaggle 24","DINOv2, SigLIP, CLIP",ASI Bhubaneswar Circle + UNESCO,"OD, HI, EN, +10 Indic",Complete (Complex boundary),9,Eastern Circuit
Khajuraho Group of Temples,Madhya Pradesh,UNESCO World Heritage,N-MP-P1,24.8518,79.9199,4900+,Kandariya Mahadeva Sketchfab CC,"GLDv2, Kaggle 24","DINOv2, SigLIP, CLIP",ASI Bhopal Circle + UNESCO,"HI, EN, +10 Indic",Complete (Western group gardens),9,Central Circuit
Hampi (Vittala & Virupaksha),Karnataka,UNESCO World Heritage,N-KA-B1,15.3350,76.4600,7200+,DST Indian Digital Heritage (IDH) Scans,"GLDv2, Kaggle 24","DINOv2, SigLIP, CLIP",ASI Hampi Mini Circle + IDH Project,"KN, HI, EN, +10 Indic",Complete (Trails & monuments),10,Hampi Pilot (P1)
Rani ki Vav,Gujarat,UNESCO World Heritage,N-GJ-P1,23.8589,72.1014,1800+,Scottish Ten / Historic Env Scotland / CyArk,"GLDv2, OpenHeritage3D","DINOv2, SigLIP, CLIP",ASI Vadodara Circle + Scottish Ten,"GU, HI, EN, +10 Indic",Complete (Stepwell polygon),10,Western Circuit
Mahabalipuram Monuments,Tamil Nadu,UNESCO World Heritage,N-TN-C1,12.6269,80.1927,3600+,Shore Temple & Pancha Rathas Sketchfab CC,"GLDv2, Kaggle 24","DINOv2, SigLIP, CLIP",ASI Chennai Circle + UNESCO,"TA, HI, EN, +10 Indic",Complete (Coastal heritage zone),9,Southern Circuit
Sanchi Stupa,Madhya Pradesh,UNESCO World Heritage,N-MP-S1,23.4795,77.7397,2900+,Great Stupa Torana Gateways Sketchfab CC,"GLDv2, Kaggle 24","DINOv2, SigLIP, CLIP",ASI Bhopal Circle + UNESCO,"HI, EN, +10 Indic",Complete (Hilltop complex),9,Central Circuit
Brihadisvara Temple (Thanjavur),Tamil Nadu,UNESCO World Heritage,N-TN-T1,10.7828,79.1318,3100+,Vimana & Nandi Pavilion Sketchfab CC,"GLDv2, Kaggle 24","DINOv2, SigLIP, CLIP",ASI Chennai Circle + UNESCO Chola,"TA, HI, EN, +10 Indic",Complete (Moat & inner prakara),9,Southern Circuit
Hawa Mahal,Rajasthan,UNESCO (Jaipur City),State Protected,26.9239,75.8267,5500+,Façade 3D Photogrammetry Sketchfab CC,"GLDv2, Kaggle 24","DINOv2, SigLIP, CLIP",Rajasthan Tourism / Dept of Arch,"HI, EN, +10 Indic",Complete (Sireh Deori Bazar),9,Rajasthan Pilot
Amer Fort,Rajasthan,UNESCO (Hill Forts),State Protected,26.9855,75.8513,6100+,Ganesh Pol & Sheesh Mahal Sketchfab CC,"GLDv2, Kaggle 24","DINOv2, SigLIP, CLIP",Rajasthan Tourism + UNESCO Dossier,"HI, EN, +10 Indic",Complete (Ramparts & courtyards),9,Rajasthan Pilot
Charminar,Telangana,ASI Protected,N-TG-H1,17.3616,78.4747,4800+,Drone Photogrammetry Sketchfab CC,"GLDv2, Kaggle 24","DINOv2, SigLIP, CLIP",ASI Hyderabad Circle,"TE, UR, HI, EN, +10 Indic",Complete (Pedestrianized plaza),9,Deccan Circuit
Golconda Fort,Telangana,ASI Protected,N-TG-H2,17.3833,78.4011,3900+,ASI LiDAR Survey / Sketchfab CC,GLDv2,"DINOv2, SigLIP, CLIP",ASI Hyderabad Circle,"TE, UR, HI, EN, +10 Indic",Complete (Bala Hissar trail),9,Deccan Circuit
Gateway of India,Maharashtra,State Protected,State Protected,18.9220,72.8347,7500+,Harbor & Arch Sketchfab CC,"GLDv2, Kaggle 24","DINOv2, SigLIP, CLIP",Maharashtra Tourism / BMC Heritage,"MR, HI, EN, +10 Indic",Complete (Waterfront promenade),9,Mumbai Pilot
Victoria Memorial,West Bengal,National Trust,National Trust,22.5448,88.3426,6200+,Full Marble Structure Sketchfab CC,"GLDv2, Kaggle 24","DINOv2, SigLIP, CLIP",Victoria Memorial Hall Trust / Min of Cult,"BN, HI, EN, +10 Indic",Complete (Maidan gardens & lake),9,Eastern Circuit
Golden Temple (Harmandir Sahib),Punjab,Religious Sacred Site,SGPC Sacred,31.6200,74.8765,8500+,Amrit Sarovar & Sanctum Sketchfab CC,"GLDv2, Kaggle 24","DINOv2, SigLIP, CLIP",SGPC Official + Punjab Tourism,"PA, HI, EN, +10 Indic",Complete (Parikrama marble walkway),9,Northern Circuit
"Aam Khas Bagh, Sirhind",Punjab,ASI Protected,N-PB-1,30.6385,76.3860,450+,CyArk / OpenHeritage3D Full Laser Scan,OpenHeritage3D,"DINOv2, SigLIP, CLIP",ASI Chandigarh Circle + CyArk,"PA, HI, EN, +10 Indic",Complete (Mughal garden boundary),9,Northern Circuit
Meenakshi Amman Temple,Tamil Nadu,State HR&CE,HR&CE TN,9.9195,78.1193,4100+,South Gopuram Sketchfab CC,GLDv2,"DINOv2, SigLIP, CLIP",HR&CE Dept TN + Tamil Nadu Tourism,"TA, HI, EN, +10 Indic",Complete (4 concentric towers),9,Southern Circuit
Chhatrapati Shivaji Maharaj Terminus,Maharashtra,UNESCO World Heritage,Central Railway,18.9400,72.8353,5200+,Gothic Façade & Dome Sketchfab CC,GLDv2,"DINOv2, SigLIP, CLIP",Central Railway Heritage + UNESCO,"MR, HI, EN, +10 Indic",Complete (Heritage wing & plaza),9,Mumbai Pilot
Jantar Mantar (Jaipur),Rajasthan,UNESCO World Heritage,State Protected,26.9248,75.8246,3100+,Samrat Yantra Sketchfab CC,GLDv2,"DINOv2, SigLIP, CLIP",Rajasthan Tourism + UNESCO,"HI, EN, +10 Indic",Complete (Instrument layout),9,Rajasthan Pilot
