Dataset_Name,Category,Source_Organization,Official_URL,Country_Scope,India_Coverage,Number_of_Records,Number_of_Images,Contains_3D,Data_Formats,API_Available,Direct_Download,License,Commercial_Use,Training_Use,Attribution_Required,Freshness,Quality_Score_160,MVP_Relevance,Primary_Problems
Google Landmarks Dataset v2 (GLDv2),Monument Recognition,Google Research / CVDF,https://github.com/cvdfoundation/google-landmark,Global,"1,200+ Indian heritage sites","5,000,000+","5,000,000+",No,"CSV, JPG",No (Bulk Download),Yes (via script / Kaggle),CC BY-SA 2.0 / Various CC,Yes with attribution,Yes,Yes,Maintained benchmark,146,High (Benchmark & Fine-tuning),"Massive download size (~500GB), needs India subset extraction"
Indian Monuments Image Dataset,Monument Recognition,Kaggle (Danushkumar Venkadesh),https://www.kaggle.com/datasets/danushkumarv/indian-monuments-image-dataset,India,24 major Indian monuments,"4,800+","4,800+",No,JPG,Kaggle API,Yes,CC0 / Public Domain,Yes,Yes,No,Static (2021),132,High (Smoke testing),"Only 24 classes, mostly frontal views, no indoor/artifacts"
The Met Open Access Collection,Museum Artifacts,The Metropolitan Museum of Art,https://collectionapi.metmuseum.org/public/collection/v1/,Global,"15,000+ South Asian objects (2,500+ high-res images)","490,000+","250,000+",No,"JSON, JPG",Yes (REST API),Yes,CC0 (Public Domain),Yes,Yes,No (Encouraged),Actively maintained,154,Critical (Museum MVP),"Artifacts are physically in NYC, though originating in ancient/medieval India"
Smithsonian Open Access API,Museum Artifacts & 3D,Smithsonian Institution,https://api.si.edu/openaccess/api/v1.0/,Global,"6,000+ Indian artifacts, bronzes, paintings","3,000,000+","1,000,000+",Yes (glTF/OBJ),"JSON, JPG, glTF",Yes (REST API),Yes,CC0 (Public Domain),Yes,Yes,No,Actively maintained,156,Critical (Artifacts & 3D),Requires free API key for higher rate limits
Open Heritage 3D (CyArk Collections),3D Scans / Digital Twins,CyArk / Historic Environment Scotland,https://openheritage3d.org,Global,"Elephanta Caves, Rani ki Vav, Aam Khas Bagh",50+ full survey datasets,Tens of thousands,Yes (LiDAR + Mesh),"E57, LAS, OBJ, PTX",No (Web Portal),Yes (Free with registration),CC BY-NC 4.0 / OpenHeritage License,Non-Commercial only (Perfect for Hackathons),Yes,Yes,Maintained,148,High (Digital Twins & AR),Massive multi-gigabyte point clouds require decimation for mobile
Wikidata Heritage Graph (India),Structured Metadata,Wikimedia Foundation,https://query.wikidata.org,Global,"3,600+ ASI monuments, 42 UNESCO sites",100M+ entities,Linked to Commons,No,"JSON, RDF, XML",Yes (SPARQL Endpoint),Yes,CC0 (Public Domain),Yes,Yes,No,Real-time live,158,P0 (Master Metadata Graph),"Crowdsourced, requires validation against official ASI gazettes"
Wikimedia Commons (Wiki Loves Monuments India),Monument Imagery,Wikimedia Foundation,https://commons.wikimedia.org,Global,"50,000+ Indian monument photos","90,000,000+","90,000,000+",No,"JPG, PNG, SVG",Yes (MediaWiki API),Yes,CC BY-SA 4.0 / CC BY 3.0 / CC0,Yes with attribution,Yes,Yes,Constantly updated,152,P0 (Visual Vector Gallery),Variable quality; contains tourist selfies needing automated filtering
OpenStreetMap (OSM) India Heritage,Geospatial & POIs,OpenStreetMap Foundation,https://overpass-api.de,Global,100% of major Indian heritage complexes,Millions of ways/nodes,N/A,No,"GeoJSON, OSM XML, PBF",Yes (Overpass API),Yes,ODbL (Open Database License),Yes with attribution,Yes,Yes,Updated daily,155,P0 (Geofencing & Routes),Complex tagging schemes require normalized parser
Centrally Protected Monuments Dataset,Master Monument Records,Archaeological Survey of India / data.gov.in,https://data.gov.in,India,"3,696 Centrally Protected Monuments","3,696",N/A,No,"CSV, JSON",Yes (data.gov.in API),Yes,GODL (Government Open Data License India),Yes with attribution,Yes,Yes,Periodically updated,150,P0 (Canonical Monument Registry),Coordinates are missing for some remote monuments
Indian Culture Portal,Heritage Knowledge & Documents,Ministry of Culture / IIT Bombay,https://indianculture.gov.in,India,"300,000+ artifacts, 298k manuscripts, 50+ tours","3,400,000+ bibliographic records","500,000+",Virtual Tours,"HTML, JSON, JPG",REST endpoints,Web viewable,Govt of India Terms of Use,Educational / Hackathon use permitted,Yes,Yes,Actively curated by IITB,144,P0 (RAG Grounding),No bulk single-click zip download; requires targeted harvesting
AI4Bharat IndicTrans2 & IndicTTS,Multilingual & Speech,AI4Bharat / IIT Madras,https://huggingface.co/ai4bharat,India,22 Indian Scheduled Languages,Tens of millions of parallel tokens,N/A,No,"PyTorch, ONNX, Hugging Face",Python API / Model weights,Yes,MIT License,Yes,Yes,Yes,Active SOTA (2023-2026),158,P0 (Multilingual Audio Guide),1B parameter model needs GPU or quantized ONNX for edge inference
UNESCO World Heritage Archives,Authoritative Historical RAG,UNESCO World Heritage Centre,https://whc.unesco.org,Global,42 Indian World Heritage Sites,42 comprehensive nomination dossiers,Official slides,No,"PDF, XML, HTML",XML / Web queries,Yes,Public Informational / Fair Use,Yes for educational/prototype,Yes,Yes,Maintained,152,P0 (RAG Gold Truth),Dossiers are long PDFs requiring text extraction and chunking
