state_ut,asi_circle,centrally_protected_asi,state_protected_monuments,nmma_documented_antiquities,osm_heritage_pois,total_heritage_entities,prominent_heritage_clusters
Uttar Pradesh,"Agra, Lucknow, Sarnath Circles",745,142,218540,38400,257827,"Varanasi Ghats, Braj-Mathura, Awadh-Lucknow, Bundelkhand Forts, Sarnath, Agra-Sikri"
Tamil Nadu,"Chennai, Thrissur/Trichy Circles",413,96,184200,42150,226859,"Great Living Chola Temples, Thanjavur, Madurai Nayak temples, Kanchipuram, Mamallapuram, Chettinad"
Maharashtra,"Mumbai, Aurangabad, Nagpur Circles",286,385,142800,29600,173071,"Maratha Military Hill Forts (Raigad, Shivneri), Ajanta-Ellora, Elephanta, Western Ghats Cave Temples"
Karnataka,"Bengaluru, Dharwad, Hampi Circles",506,844,136900,26800,165050,"Vijayanagara Hampi, Badami-Aihole-Pattadakal, Hoysala Belur-Halebidu, Bijapur Adil Shahi, Mysore"
Rajasthan,"Jaipur, Jodhpur Circles",163,342,128400,24300,153205,"Hill Forts (Chittorgarh, Kumbhalgarh, Amer, Jaisalmer), Shekhawati Havelis, Mewar & Marwar Palaces"
Gujarat,"Vadodara, Rajkot Circles",203,361,114500,21800,136864,"Harappan (Dholavira, Lothal), Solanki Stepwells (Rani ki Vav, Adalaj), Champaner, Saurashtra Temples, Junagadh"
Madhya Pradesh,"Bhopal, Jabalpur Circles",292,497,105600,18400,124789,"Khajuraho, Sanchi, Bhimbetka Rock Art, Gwalior Citadel, Mandu Afghan Palaces, Orchha Chhatris"
West Bengal,Kolkata Circle,136,112,92300,16200,108748,"Bishnupur Terracotta, Murshidabad Nawabi Palaces, Kolkata Colonial & Renaissance, Gour & Pandua Sultanate"
Odisha,Bhubaneswar Circle,80,218,84100,14900,99298,"Kalinga Golden Triangle (Konark, Puri, Bhubaneswar), Diamond Triangle Buddhist Sites (Ratnagiri, Udayagiri, Lalitgiri)"
Bihar,Patna Circle,70,35,78200,12600,90905,"Nalanda & Vikramashila Mahaviharas, Bodh Gaya, Rajgir Ancient Capital, Barabar Mauryan Caves, Vaishali"
Andhra Pradesh,Amaravati Circle,129,500,64800,11500,76929,"Lepakshi, Amaravati Stupa, Nagarjunakonda Buddhist Island, Chandragiri Fort, Tirumala Tirupati"
Telangana,Hyderabad Circle,8,482,51200,9800,61490,"Golconda Citadel, Charminar, Qutb Shahi Tombs, Ramappa Kakatiya Temple, Warangal Thousand Pillar"
Kerala,Thrissur Circle,29,185,42100,11400,53714,"Bekal Fort, Padmanabhapuram, Mattancherry Dutch Palace, Muziris Heritage Project, Thrissur Vadakkunnathan"
Delhi (NCT),Delhi Circle,174,33,38900,6800,45907,"Seven Historic Cities of Delhi, Qutub Complex, Mehrauli Park, Red Fort, Humayun's Tomb, Nizamuddin"
Punjab,Chandigarh Circle,33,47,26400,4900,31380,"Amritsar Golden Temple, Gobindgarh Fort, Sheesh Mahal Patiala, Bathinda Qila Mubarak, Harappan Sanghol"
Jammu & Kashmir,"Srinagar, Jammu Circles",56,64,22100,3800,26020,"Martand Sun Temple, Parihaspora, Avantipur Ruins, Mughal Gardens of Srinagar, Mubarak Mandi Jammu"
Assam,Guwahati Circle,55,98,18600,3200,21953,"Ahom Royal Citadels (Sivasagar, Charaideo Maidams, Rang Ghar), Kamakhya Temple, Tezpur Cole Park, Majuli Satras"
Himachal Pradesh,Shimla Circle,40,28,16400,3100,19568,"Masroor Monolithic Rock-Cut Temple, Kangra Fort, Tabo Monastery, Chamba Temples, Kalka-Shimla Railway"
Uttarakhand,Dehradun Circle,44,19,14200,2900,17163,"Jageshwar Group of Temples, Baijnath, Katarmal Sun Temple, Kedarnath & Badrinath shrines, Kalsi Ashokan Edict"
Haryana,Chandigarh Circle,91,38,12800,2600,15529,"Rakhigarhi Harappan Metropolis, Thanesar Sheikh Chilli Tomb, Pinjore Mughal Gardens, Hansi Fort"
Goa,Goa Circle,21,51,9800,2400,12272,"Churches of Old Goa (Bom Jesus, Se Cathedral), Aguada Fort, Chapora Fort, Tambdi Surla Mahadev"
Ladakh (UT),Srinagar Circle,14,22,8400,1800,10236,"Leh Palace, Hemis Monastery, Alchi Murals, Thiksey Gompa, Lamayuru, Shey Palace"
Chhattisgarh,Raipur Circle,47,58,7900,1600,9605,"Sirpur Buddhist-Hindu Complex, Bhoramdeo Temple (Khajuraho of CG), Bastar tribal shrines, Ratanpur Fort"
Jharkhand,Ranchi Circle,13,31,6800,1400,8244,"Maluti Terracotta Temples, Palamu Forts, Deoghar Baidyanath Jyotirlinga, Parasnath Hill"
Other States & UTs (NE & Islands),"Guwahati, Kolkata, Chennai",48,72,14200,3200,17520,"Cellular Jail Port Blair, Kangla Fort Manipur, Unakoti Rock Carvings Tripura, Rumtek Sikkim, Tawang Arunachal"
